,Mean_H,Mean_S,Mean_V,duration,viewCount,paidBadge,bday,subs,gender,prettyScale,publishedAt,videoTitle,tag,viewCount_log,face_area_ratio,face_detect,Smile_Value,text_rate1,minmax_text_length,text_present,tempo,f0_mean,f0_var
Mean_H,1.0,-0.23479217114180495,-0.04787285052360394,-0.007127070706554843,-0.003428121598665884,0.027742538576720963,-0.044329054342519845,0.08959546239848847,0.11549891327913135,0.16156440931711027,-0.05625985341483064,-0.007531789603569868,0.05245455934370759,0.04074761131824321,-0.13482220994717917,0.03100992090981917,0.08602071878445076,0.07170258056163016,-0.012314313331197322,0.06475677319305154,0.021449610285197155,0.06350779821409584,0.09771389858611504
Mean_S,-0.23479217114180495,1.0,-0.18242314504713686,-0.03073889622214255,0.04011987387019041,-0.03602679567213566,-0.02431710520844565,0.01029355564632805,0.08777052173525456,-0.08991541653300913,0.1262664486283519,0.028467795269405374,-0.07812400079291969,0.12358346521394463,0.1445023790671779,-0.00806340992685316,-0.03307360388155706,-0.17617610837459438,0.008033922890350209,-0.12307053664310125,0.0027674504151722354,0.08670568741180586,-0.0171543372326425
Mean_V,-0.04787285052360394,-0.18242314504713686,1.0,-0.06748164147323225,0.011523536314480245,-0.09231502505436273,0.09466527409577714,-0.06189697821768598,0.03722062996231985,-0.15056741818126204,0.15022993076229524,0.034943608804415376,0.06451366059098412,-0.09730231664759992,0.1103373342412154,-0.24073809500335308,-0.10104826849025486,0.037272151867338156,0.12278269957587246,0.05550378299716842,-0.08217954282720359,0.051910510398982854,0.023375438551787305
duration,-0.007127070706554843,-0.03073889622214255,-0.06748164147323225,1.0,-0.06038844964780531,0.026332882801017483,0.048886877209926675,0.05412826777185606,-0.0639534324931383,0.12080021763199447,-0.09050062301634867,0.13898124189675212,0.08834813512300263,0.019976794409611635,0.0029404751856979433,0.07746949329547713,0.10249400915591653,0.1266899404886852,-0.01055428326740933,0.09520490152381003,0.040458011079579935,-0.13195031041322566,0.009313372239456025
viewCount,-0.003428121598665884,0.04011987387019041,0.011523536314480245,-0.06038844964780531,1.0,-0.1146087018391521,0.01853774215357236,0.211643998159565,-0.0011071973407404633,0.06914645505465582,0.09835985664503182,-0.04245147154091456,0.0038625462821476747,0.4085091609838398,0.045548853689741764,0.030902179558198583,0.01175660041026709,-0.07497663025876126,-0.03672379262998263,-0.1152987626292852,0.029767546896755127,0.024434654819236845,0.002401582131166776
paidBadge,0.027742538576720963,-0.03602679567213566,-0.09231502505436273,0.026332882801017483,-0.1146087018391521,1.0,-0.1449778796710179,0.07885519822709701,-0.11531821031608608,-0.07094558610990788,-0.17233288018133747,-0.02242440413282591,-0.1289897250652455,0.05621463785388259,-0.038031661529924536,0.10209208187541731,0.1487356154508444,0.07831244471928515,-0.07093375749141288,0.17796412427207578,0.054550185410075454,-0.11169251244687368,0.0032039550852826972
bday,-0.044329054342519845,-0.02431710520844565,0.09466527409577714,0.048886877209926675,0.01853774215357236,-0.1449778796710179,1.0,0.21561378712443144,0.0527215917152942,0.12063304691378085,0.15088594257458832,-0.055928450019733886,0.10763597020257723,-0.0752316441079453,0.014448926840408173,-0.060614679303927374,-0.10774439773580115,-0.026195021871190056,0.03154420102202559,-0.1497244912824625,-0.08469327819554563,0.04875263453523481,0.05686909297365313
subs,0.08959546239848847,0.01029355564632805,-0.06189697821768598,0.05412826777185606,0.211643998159565,0.07885519822709701,0.21561378712443144,1.0,0.17025204537992947,0.20636611502459196,-0.020214841082172762,-0.01793231922327402,-0.06830972481851344,0.6134549781519374,0.09945674144804756,0.1560477304730856,0.08201292594163696,-0.06773942580934487,-0.16337023597528927,-0.13202454628889942,0.044529574484297084,0.006277782588886106,0.058411552079095395
gender,0.11549891327913135,0.08777052173525456,0.03722062996231985,-0.0639534324931383,-0.0011071973407404633,-0.11531821031608608,0.0527215917152942,0.17025204537992947,1.0,0.038692959047409305,0.03049503284828962,0.1527946723165027,0.06725931076676238,0.05407945016207536,0.053167864839831463,-0.1021959432254092,0.027334383307883275,-0.03925522305004024,0.030254757055586494,-0.07197579989693076,-0.02400598685614645,0.28277483585217694,0.19852236377308058
prettyScale,0.16156440931711027,-0.08991541653300913,-0.15056741818126204,0.12080021763199447,0.06914645505465582,-0.07094558610990788,0.12063304691378085,0.20636611502459196,0.038692959047409305,1.0,-0.056107926757398986,-0.0032729051728039487,0.12248012426812671,0.028825699074172484,-0.027539627378640536,0.16205295459821303,-0.020320019616521544,-0.00783179544915099,-0.0889359968507237,-0.15345325358867387,0.013691712006347464,0.15922191980760633,0.12286830768067677
publishedAt,-0.05625985341483064,0.1262664486283519,0.15022993076229524,-0.09050062301634867,0.09835985664503182,-0.17233288018133747,0.15088594257458832,-0.020214841082172762,0.03049503284828962,-0.056107926757398986,1.0,0.03061332268429316,0.20032706684604906,0.13119527119377522,-0.07399436543617968,-0.2174837394397671,-0.09274369226021627,-0.055186624702797366,0.20072186109052617,-0.12089104356457016,-0.11462503910235623,0.143626303995657,0.04866472348997944
videoTitle,-0.007531789603569868,0.028467795269405374,0.034943608804415376,0.13898124189675212,-0.04245147154091456,-0.02242440413282591,-0.055928450019733886,-0.01793231922327402,0.1527946723165027,-0.0032729051728039487,0.03061332268429316,1.0,0.05626025305552662,0.015318088871117689,-0.03692977696183671,-0.041497951484310784,0.07080183693395938,0.022353075740601202,0.011368975575673809,0.027545426485150223,0.0244820526800818,0.08969033112827941,0.06164996411560177
