,channelId,channelTitle,videoId,duration,viewCount,paidBadge,bday,subs,gender,prettyScale,publishedAt,videoTitle,desc,tag
0,UCT-_4GqC-yLY1xtTHhwY0hA,PONY Syndrome,z0MKkIdcq8g,59,113589,1,3393,5930000,F,83.75,218,Which look is your fav?🧚🏻‍♀️🍄🎀,,
1,UCT-_4GqC-yLY1xtTHhwY0hA,PONY Syndrome,NhxLyUKp4VA,39,175305,1,3393,5930000,F,83.75,185,3D Juicy Lips Tutorial🍒,"#광고 

3D Juicy Lips Tutorial with 
@somethincmakeup & @somethincofficial 

The color of this gloss is 😍
And the Checkmatte lipstick staying power is 🔥 
you guys should try it too! 

Anyway, let me know if you want me to post more of such tutorials in the comments below and if you try this look, remember to tag me! 

3D 쥬시 립스 튜토리얼🍒

영상에서 사용한 체크매트 립스틱의 지속력,, 진짜 미쳤어요🔥
그리고 립글로스도 너무 특이하고 예쁘져!

이런 비슷한 튜토리얼 더 보고 싶으시면 댓글 달아주세요! 

#PakaiSomethinc #lip #makeuptutorial #lipstick #gradientlip #gradientlips #koreanmakeup #lipgloss #메이크업 #메이크업튜토리얼",
2,UCn_fZLXut_Tj9-QihG_9l0g,안다 ANDA,XsUNS1Qb0i8,45,442609,1,2922,1350000,F,80.75,681,일반인에서 여름 요정으로 변신하는 메이크업🧚‍♀️,"💡 이 영상은 '글린트’의 유료광고 제품이 포함되어 있습니다.
💡 이 영상은 노출 의무가 없는 단순 협찬 / 선물 제품이 포함되어 있습니다.


✱ SNS
Instagram : @anda.channel
https://www.instagram.com/anda.channel/
tiktok : 안다 ANDA @anda.channel
https://www.tiktok.com/@anda.channel

✱ 채널 멤버십에 가입하여 혜택을 누려보세요!
https://www.youtube.com/channel/UCn_fZLXut_Tj9-QihG_9l0g/join




💖반짝이 장인 글린트 올리브영 기획전(7/18~7/24) 
https://bit.ly/3ASMQxU
여름요정🧚‍♀️ 만들어준 글린트 제품 세일은 물론 3만원 이상 구매 시 5% 추가 할인 중✨





📘 직접 구매한 제품
📗 영상 노출 의무 없이, 단순 선물로 제공받은 제품
📙 원고료를 지급받은 유료광고 제품





📗
ETUDE
더블 래스팅 비건 커버 파운데이션
21N 베이지 / 29,000

📘
LUNA
롱래스팅 팁 컨실러
01 바닐라 / 15,000

📗
ABOUT_TONE.
블러 파우더 팩트
01 페어 / 10,000

📗
BLACKROUGE
하프하드 드로잉 마스터 아이브로우
E01 그레이 마스터 / 12,000

📘
KISSME
헤비로테이션 컬러링 아이브로우
03 애쉬 브라운 / 15,000

📗
ARITAUM
모노 아이즈 팔레트
라벤더포그 / 단종

📘
CLIO
킬 래쉬 수퍼프루프 마스카라
01 롱 컬링 / 18,000

📗
WAKEMAKE
리얼 애쉬 브러쉬 아이라이너
01 애쉬 블랙 / 14,000

📙
Glint
스틱 하이라이터
01 듀이 문
02 밀키 문
/ 24,000

📙
Glint
하이라이터
01 듀이 문
02 다이아몬드 베일
03 크롬 베이비
04 밀키 문
/ 22,000

📗
JUNGSAEMMOOL
컬러피스 블러쉬
블렌딩 라벤더 / 28,000

📗
IBIM
히든 필터 쉐딩
01 클래식 / 12,000

📗
HERA
센슈얼 피팅 글로우 틴트
126 리들러 / 40,000

📗
IBIM
프리즘 립글로스
핑키쉬 골드 / 9,000

📙
Glint
글리터 젤
01 럼 앤 슈가
02 글래시 러브
03 프로즌 오팔
04 글리미 밀크
05 무드 파탈
/ 15,000





✱ Credits
Director / Film Editor : Anna
AD : Sarah (@pae_d_art)

✱ Hashtag
#shorts #숏츠 #글린트 #글린트하이라이터 #요정메이크업 #스틱하이라이터 #하이라이터 #하이라이터추천 #글리터 #글리터젤","뷰티,뷰티유튜버,뷰튜버,메이크업,겟레디,겟레디윗미,일상,데일리,브이로그,튜토리얼,안다,헤어,패션,스타일링,룩북,하울,여드름,제품 추천,커버,beauty,makeup,tutorial,how,grwm,ootd,motd,get ready with me,fashion,haul,hair,styling,anda,만찢메,웹툰커버메이크업"
3,UCn_fZLXut_Tj9-QihG_9l0g,안다 ANDA,K4EyP10M5ss,40,1102446,1,2922,1350000,F,80.75,596,색조 하나로 하는 울먹 메이크업🍒,"💡 이 영상은 ‘마녀공장'의 유료광고 제품이 포함되어 있습니다.


✱ SNS
Instagram : @anda.channel
https://www.instagram.com/anda.channel/
tiktok : 안다 ANDA @anda.channel
https://www.tiktok.com/@anda.channel

✱ 채널 멤버십에 가입하여 혜택을 누려보세요!
https://www.youtube.com/channel/UCn_fZLXut_Tj9-QihG_9l0g/join





❤️ 스틱 하나로 나만의 무드를 완성할 수 있는 
NO MERCY Spell Mood Stick 🍒
​
노머시 X VALT 연트럴파크점 HALLOWEEN 팝업이 오픈했대요 ✨

보여드린 컬러외에도, 직접 체험 가능한 체험존과 포토부스부터 무료 증정 타투스티커, 마녀공장 공식몰에서 사용할 수 있는 숨은 혜택까지 있다고하니 꼭 한번씩 방문해보세오🌝

 마녀공장 공식 인스타그램에서 방문 인증샷 이벤트도 진행하고 있다하니 노머시와 함께 예쁜 할로윈 룩 즐겨보세용👻

🛒 팝업스토어 
기간 _ 2022.10.18~10.31 
장소 _ VALT 연트럴파크점 
운영시간 _ 12:00~22:00





✱ Credits
Director / Film Editor : Anda

✱ Hashtag
#shorts #울먹메이크업 #버건디메이크업 #할로윈메이크업 #뱀파이어메이크업 #마녀공장 #manyo","뷰티,뷰티유튜버,뷰튜버,메이크업,겟레디,겟레디윗미,일상,데일리,브이로그,튜토리얼,안다,헤어,패션,스타일링,룩북,하울,여드름,제품 추천,커버,beauty,makeup,tutorial,how,grwm,ootd,motd,get ready with me,fashion,haul,hair,styling,anda,만찢메,웹툰커버메이크업"
4,UCn_fZLXut_Tj9-QihG_9l0g,안다 ANDA,CWQ2u-S7fW0,29,1663662,1,2922,1350000,F,80.75,485,홧김에 숏컷 자른 사람이 중단발까지 기르는 과정 (ft.웬디 허쉬컷 ···),"💡 이 영상은 ‘플란투어’의 유료광고 제품이 포함되어 있습니다.
💡 이 영상은 노출 의무가 없는 무상제공제품이 포함되어 있습니다.

✱ SNS
Instagram : @anda.channel
https://www.instagram.com/anda.channel/ 
tiktok : 안다 ANDA @anda.channel 
https://www.tiktok.com/@anda.channel

✱ 채널 멤버십에 가입하여 혜택을 누려보세요! 
https://www.youtube.com/channel/UCn_fZLXut_Tj9-QihG_9l0g/join





📘 직접 구매한 제품 
📗 영상 노출 의무 없이, 제품무상제공
📙 원고료를 지급받은 유료광고 제품





📙 유료광고
Plantur
플란투어21 롱헤어 부스터
125ml / 12,000





✱ Video Source Support
Youtube channel ""freeticon"" : https://www.youtube.com/c/Freeticon

✱ Credits 
Director / Film Editor : Anda

✱ Hashtag 
#중단발 #거지존 #스타일링 #중단발스타일링 #거지존스타일링 #중단발고데기 #머리기르기 #머리기르는법 #플란투어 #플란투어21 #롱헤어부스터 #shorts","뷰티,뷰티유튜버,뷰튜버,메이크업,겟레디,겟레디윗미,일상,데일리,브이로그,튜토리얼,안다,헤어,패션,스타일링,룩북,하울,여드름,제품 추천,커버,beauty,makeup,tutorial,how,grwm,ootd,motd,get ready with me,fashion,haul,hair,styling,anda,만찢메,웹툰커버메이크업"
5,UCn_fZLXut_Tj9-QihG_9l0g,안다 ANDA,i3jb3IHglTE,46,298871,1,2922,1350000,F,80.75,392,페스티벌 주인공되는 메이크업🩵,"💡 이 영상은 '라네즈'의 유료 광고가 포함되어 있습니다.
💡 이 영상은 노출 의무가 없는 무상제공제품이 포함되어 있습니다.


✱ SNS
Instagram : @anda.channel
https://www.instagram.com/anda.channel/
tiktok : 안다 ANDA @anda.channel
https://www.tiktok.com/@anda.channel

✱ 채널 멤버십에 가입하여 혜택을 누려보세요!
https://www.youtube.com/channel/UCn_fZLXut_Tj9-QihG_9l0g/join

✱ Credits 
Director / Film Editor : Anda
DP : Hanna (@do__yoni)

✱ Hashtag 
#shorts #페스티벌 #페스티벌메이크업 #화려한메이크업 #블루메이크업","뷰티,뷰티유튜버,뷰튜버,메이크업,겟레디,겟레디윗미,일상,데일리,브이로그,튜토리얼,안다,헤어,패션,스타일링,룩북,하울,여드름,제품 추천,커버,beauty,makeup,tutorial,how,grwm,ootd,motd,get ready with me,fashion,haul,hair,styling,anda,만찢메,웹툰커버메이크업"
6,UCn_fZLXut_Tj9-QihG_9l0g,안다 ANDA,7G9mZMUBnzY,54,641042,1,2922,1350000,F,80.75,275,요즘 아이돌들의 울멍스모키 메이크업❤️‍🔥,#릴리바이레드 #러브콜에디션 #무드키보드 #러브빔블러치크 #무드라이어벨벳틴트,"뷰티,뷰티유튜버,뷰튜버,메이크업,겟레디,겟레디윗미,일상,데일리,브이로그,튜토리얼,안다,헤어,패션,스타일링,룩북,하울,여드름,제품 추천,커버,beauty,makeup,tutorial,how,grwm,ootd,motd,get ready with me,fashion,haul,hair,styling,anda,만찢메,웹툰커버메이크업"
7,UCnekLiljel-Px4ClMC7b3mg,회사원A,4I5wohkZ0bI,28,16222,1,4381,1280000,F,68.5,593,"✨ 회사원a X 달바, 첫 마켓 맞이 최애템 민감성 3종 마켓 공지✨","☀️ 마켓 일정: 10/13 (목) 00:00 ~10/17 (월) 23:59
☀️ 구매방법 : https://bit.ly/3SK6kLi  ← 링크 통해 구매 가능합니다!
 
☀️ 마켓 옵션
 
📍달바 민감성 라인 런칭 기념 단독 & 최저가 마켓📍

 1. 마일드 스킨 밸런싱 비건 클렌저 단품 (200ml) 

정가 32,000원 → 22,400원 (30% 할인)


2. 마일드 스킨 밸런싱 비건 토너 단품 (150ml)

 정가 38,000원 → 26,600원 (30% 할인)

3. 마일드 스킨 밸런싱 비건 크림 단품 (55ml)

 정가 46,000원 → 32,200원 (30% 할인)

4. only 회사원 a 마켓에서만 구매 가능한 기획 set

- 마일드 밸런싱 비건 클렌저 200ml
- 마일드 밸런싱 비건 토너 150ml
- 마일드 밸런싱 비건 크림 55ml
- 바이탈 인텐시브 세럼 100ml

 정가 162,000원 → 58,500원 (64% 할인)

#shorts","makeup,메이크업,メイク,メイクアップ,화장법,화장,뷰티,회사원A,회사원B,달바,민감성,마켓"
8,UCnekLiljel-Px4ClMC7b3mg,회사원A,Qd1UDZJ9RXs,48,220725,1,4381,1280000,F,68.5,123,✨중력에도 끄떡없는 아이돌 앞머리 세팅법✨,초보자도 쉽게 따라할 수 있다리~😉❤️,
9,UCnekLiljel-Px4ClMC7b3mg,회사원A,sSpHEC1Le4U,36,52071,1,4381,1280000,F,68.5,90,영하 10도🥶 혹한의 홋카이도 뿌시기 (feat. 메디필 물톡스 앰플),"메디필 모공플럼핑 앰플!!
올영세일만 28% 할인!! 모공+피부 광까지 챙겨가쉐요
https://bit.ly/48vUOdx","앰플,홋카이도,일본여행,일본,메디필,물톡스,스킨케어,기초화장품,피부,모공"
